Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
2,female,group B,master's degree,standard,none,single,sometimes,yes,4.0,school_bus,< 5,87,93,91
4,male,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,76,78,75
5,female,group B,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,73,84,79
6,female,group B,some college,standard,completed,widowed,never,no,1.0,private,5 - 10,85,93,89
7,male,group B,some college,free/reduced,none,married,sometimes,yes,1.0,private,> 10,41,43,39
8,male,group D,high school,free/reduced,completed,single,sometimes,no,3.0,private,> 10,65,64,68
11,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,40,52,43
12,female,group B,high school,standard,none,married,regularly,no,1.0,private,5 - 10,66,82,74
13,male,group A,some college,standard,completed,single,sometimes,yes,1.0,private,> 10,80,73,71
14,female,group A,master's degree,standard,none,divorced,sometimes,yes,2.0,private,< 5,48,53,58
17,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,18,32,28
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1.0,private,5 - 10,46,42,47
19,female,group C,associate's degree,free/reduced,none,married,never,yes,3.0,private,< 5,50,56,58
20,male,group D,high school,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,66,69,63
21,female,group B,some college,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10,65,75,70
25,male,group A,master's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,75,76,76
26,male,group B,some college,standard,none,married,sometimes,yes,5.0,school_bus,< 5,66,53,53
27,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4.0,school_bus,> 10,69,70,76
28,male,group C,high school,standard,none,married,sometimes,no,1.0,private,5 - 10,70,70,65
30,female,group D,some college,standard,none,single,sometimes,yes,0.0,private,< 5,66,72,72
32,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,56,73,66
36,female,group D,associate's degree,standard,none,married,regularly,no,2.0,private,5 - 10,76,82,85
37,female,group D,some high school,free/reduced,none,married,regularly,yes,1.0,private,5 - 10,51,64,60
38,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1.0,school_bus,5 - 10,77,91,90
39,male,group B,associate's degree,free/reduced,none,single,regularly,yes,5.0,school_bus,5 - 10,58,56,58
40,male,group C,associate's degree,free/reduced,none,married,never,yes,0.0,school_bus,5 - 10,53,60,52
44,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5.0,school_bus,< 5,48,55,52
45,male,group B,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,< 5,63,53,55
52,male,group C,some college,standard,none,divorced,regularly,yes,3.0,school_bus,> 10,56,45,43
53,male,group D,high school,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,88,78,75
55,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,private,5 - 10,33,41,43
56,female,group E,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,> 10,84,86,87
57,male,group D,associate's degree,standard,none,single,sometimes,no,2.0,private,5 - 10,52,55,49
59,female,group C,some high school,free/reduced,none,single,regularly,yes,3.0,school_bus,> 10,0,17,10
62,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,62,61,55
64,female,group D,some high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,59,58,59
65,male,group B,some high school,standard,none,married,never,yes,1.0,private,< 5,63,62,58
66,male,group D,some high school,free/reduced,none,married,sometimes,yes,4.0,school_bus,5 - 10,45,37,37
67,female,group C,some college,standard,none,married,regularly,no,3.0,school_bus,5 - 10,61,73,75
69,female,group C,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,39,64,57
71,male,group D,some college,standard,completed,divorced,sometimes,yes,3.0,private,> 10,64,55,64
72,female,group A,associate's degree,free/reduced,none,single,regularly,yes,1.0,private,5 - 10,42,51,49
73,male,group C,some high school,free/reduced,none,divorced,never,yes,3.0,school_bus,5 - 10,59,56,54
78,female,group D,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10,62,75,73
79,female,group E,master's degree,standard,none,divorced,never,yes,1.0,school_bus,5 - 10,60,68,68
80,female,group B,associate's degree,standard,none,married,regularly,yes,0.0,private,> 10,49,50,52
83,male,group E,associate's degree,standard,none,married,regularly,yes,0.0,private,5 - 10,74,64,64
85,female,group C,some college,standard,none,divorced,sometimes,yes,0.0,private,5 - 10,73,80,82
87,female,group D,associate's degree,standard,none,single,sometimes,yes,0.0,private,5 - 10,71,71,74
88,female,group A,some college,standard,none,divorced,regularly,yes,3.0,school_bus,< 5,57,69,67
93,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,> 10,45,46,52
94,female,group B,some college,standard,none,married,regularly,yes,4.0,private,5 - 10,81,87,94
96,male,group B,some high school,standard,completed,married,regularly,yes,5.0,school_bus,5 - 10,63,65,61
99,female,group D,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,64,66,62
100,male,group B,some college,standard,none,married,sometimes,no,7.0,school_bus,5 - 10,79,67,67
101,male,group D,bachelor's degree,standard,completed,single,sometimes,no,1.0,private,5 - 10,68,74,74
102,female,group D,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,87,92,91
103,male,group B,high school,standard,completed,married,regularly,no,3.0,school_bus,5 - 10,61,44,48
105,female,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,58,67,72
106,female,group D,master's degree,standard,none,married,sometimes,no,3.0,private,5 - 10,87,100,100
108,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,52,76,70
109,female,group B,some high school,standard,none,single,regularly,no,3.0,school_bus,5 - 10,72,64,73
110,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4.0,school_bus,> 10,79,90,99
112,male,group A,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,54,53,47
113,female,group D,some college,standard,none,married,never,yes,1.0,school_bus,< 5,47,56,51
114,female,group E,bachelor's degree,standard,completed,married,regularly,yes,3.0,school_bus,< 5,98,99,100
115,male,group C,high school,standard,none,married,sometimes,yes,4.0,private,5 - 10,84,77,74
116,female,group B,bachelor's degree,free/reduced,none,single,never,no,1.0,school_bus,5 - 10,72,83,79
117,female,group D,bachelor's degree,standard,none,married,never,no,2.0,private,5 - 10,75,80,77
118,female,group D,some high school,standard,none,single,regularly,yes,0.0,private,> 10,54,64,63
119,female,group C,some college,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,55,69,65
120,female,group C,bachelor's degree,standard,completed,married,never,yes,1.0,school_bus,5 - 10,76,90,86
121,male,group B,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,88,87,90
124,male,group E,some college,standard,none,single,regularly,no,3.0,school_bus,< 5,82,79,73
125,female,group B,high school,standard,none,single,never,yes,2.0,school_bus,> 10,86,94,85
128,male,group D,master's degree,standard,none,single,never,yes,2.0,private,< 5,77,81,72
130,male,group D,master's degree,standard,none,single,sometimes,no,1.0,school_bus,< 5,87,84,82
131,male,group C,some high school,free/reduced,completed,single,regularly,yes,1.0,private,< 5,52,36,40
134,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,76,80,76
136,male,group B,some high school,standard,completed,divorced,sometimes,yes,1.0,private,5 - 10,51,54,41
137,male,group E,high school,standard,none,divorced,sometimes,yes,0.0,school_bus,< 5,67,54,54
139,male,group D,some college,standard,completed,married,sometimes,yes,0.0,private,> 10,73,61,70
140,female,group D,some high school,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,76,72,71
